stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1001-1,1,市役所,,35.13220467,137.0394341,,,,,,
1002-1,2,図書館,,35.13206576,137.042486,,,,,,
1003-1,3,浅間下,,35.13088756,137.0449719,,,,,,
1004-1,4,笠寺山,,35.1268151,137.045638,,,,,,
1005-1,5,日進駅,,35.11869436,137.0480203,,,,,,
1006-1,6,日進駅南,,35.11606939,137.0492031,,,,,,
1007-1,7,南ヶ丘北,,35.11402283,137.0434073,,,,,,
1008-1,8,南ヶ丘南,,35.11139985,137.0415455,,,,,,
1009-1,9,藤塚六丁目,,35.11171782,137.036693,,,,,,
1010-1,10,高松池,,35.11480604,137.0406254,,,,,,
1011-1,11,鎌ヶ寿,,35.12292086,137.0403735,,,,,,
1012-1,12,藤塚,,35.12378324,137.0347574,,,,,,
1013-1,13,上ノ山,,35.12518601,137.0286989,,,,,,
1014-1,14,浅田区民会館,,35.12469102,137.0240962,,,,,,
1015-1,15,平子,,35.12179047,137.0252287,,,,,,
1016-1,16,箕ノ手北,,35.11928111,137.0212108,,,,,,
1017-1,17,赤池駅南,,35.12024854,137.0195528,,,,,,
1018-1,18,赤池駅,,35.12125081,137.0184716,,,,,,
1019-1,19,赤池小学校,,35.11852804,137.0173548,,,,,,
1020-1,20,赤池南一丁目,,35.11774279,137.0195002,,,,,,
1021-1,21,箕ノ手西,,35.11833771,137.0211464,,,,,,
1022-1,22,箕ノ手中央,,35.11296495,137.0255353,,,,,,
1023-1,23,箕ノ手東,,35.11257175,137.0284422,,,,,,
1024-1,24,平子南,,35.11587268,137.0303337,,,,,,
1025-1,25,藤塚南,,35.11934911,137.0386541,,,,,,
1026-1,26,おりど病院,,35.12368333,137.0419617,,,,,,
1027-1,27,市役所東,,35.13257394,137.0405075,,,,,,
1028-1,28,日生東山,,35.12656294,137.049375,,,,,,
1029-1,29,寺脇,,35.12274204,137.0474376,,,,,,
1030-1,30,東山グランド,,35.12287648,137.0527224,,,,,,
1031-1,31,日東東山,,35.12508704,137.0536037,,,,,,
1032-1,32,日東東山北,,35.12610253,137.0565406,,,,,,
1033-1,33,橦木北,,35.12264039,137.0586277,,,,,,
1034-1,34,栄,,35.12127765,137.0538668,,,,,,
1034-2,35,栄,,35.12121137,137.0526841,,,,,,
1035-1,36,日進団地,,35.12375906,137.0620802,,,,,,
